CustomerKey,CustomerID,Country
1750,14082,United Kingdom
1806,14138,United Kingdom
1837,14169,United Kingdom
1853,14185,United Kingdom
1884,14216,United Kingdom
1913,14245,United Kingdom
1939,14271,United Kingdom
1975,14307,United Kingdom
2027,14359,United Kingdom
2091,14423,United Kingdom
2095,14427,United Kingdom
2099,14431,United Kingdom
2134,14466,United Kingdom
2165,14497,United Kingdom
2353,14685,United Kingdom
2373,14705,United Kingdom
2375,14707,United Kingdom
2407,14739,United Kingdom
2418,14750,United Kingdom
2444,14776,United Kingdom
2496,14828,United Kingdom
2578,14910,United Kingdom
2647,14979,United Kingdom
2675,15007,United Kingdom
2815,15147,United Kingdom
2821,15153,United Kingdom
2897,15229,United Kingdom
3054,15386,United Kingdom
3145,15477,United Kingdom
3208,15540,United Kingdom
3217,15549,United Kingdom
3344,15676,United Kingdom
3369,15701,United Kingdom
3381,15713,United Kingdom
3547,15879,United Kingdom
3576,15908,United Kingdom
3598,15930,United Kingdom
3714,16046,United Kingdom
3736,16068,United Kingdom
3753,16085,United Kingdom
3783,16115,United Kingdom
3805,16137,United Kingdom
3806,16138,United Kingdom
3845,16177,United Kingdom
4014,16346,United Kingdom
4039,16371,United Kingdom
4041,16373,United Kingdom
4243,16575,United Kingdom
4271,16603,United Kingdom
4281,16613,United Kingdom
4297,16629,United Kingdom
4313,16645,United Kingdom
4343,16675,United Kingdom
4405,16737,United Kingdom
4434,16766,United Kingdom
4482,16814,United Kingdom
4489,16821,United Kingdom
4715,17047,United Kingdom
4745,17077,United Kingdom
4786,17118,United Kingdom
4793,17125,United Kingdom
4823,17155,United Kingdom
4914,17246,United Kingdom
4963,17295,United Kingdom
5070,17402,United Kingdom
5125,17457,United Kingdom
5131,17463,United Kingdom
5170,17502,United Kingdom
5174,17506,United Kingdom
5191,17523,United Kingdom
5360,17692,United Kingdom
5394,17726,United Kingdom
5397,17729,United Kingdom
5412,17744,United Kingdom
5486,17818,United Kingdom
5524,17856,United Kingdom
5551,17883,United Kingdom
5599,17931,United Kingdom
5615,17947,United Kingdom
5657,17989,United Kingdom
5688,18020,United Kingdom
5713,18045,United Kingdom
5723,18055,United Kingdom
5729,18061,United Kingdom
5783,18115,United Kingdom
5796,18128,United Kingdom
5844,18176,United Kingdom
5855,18187,United Kingdom
47,12391,Cyprus
58,12401,Belgium
155,12489,France
162,12496,Spain
186,12520,Germany
210,12544,Spain
215,12549,USA
225,12559,Germany
229,12563,Italy
261,12595,Germany
276,12610,Italy
340,12673,Germany
410,12743,Unspecified
489,12821,United Kingdom
556,12888,United Kingdom
620,12952,United Kingdom
643,12975,United Kingdom
697,13029,United Kingdom
705,13037,United Kingdom
716,13048,United Kingdom
755,13087,United Kingdom
775,13107,United Kingdom
823,13155,United Kingdom
990,13322,United Kingdom
1046,13378,United Kingdom
1066,13398,United Kingdom
1216,13548,United Kingdom
1223,13555,United Kingdom
1360,13692,United Kingdom
1383,13715,United Kingdom
1416,13748,United Kingdom
1514,13846,United Kingdom
1625,13957,United Kingdom
1822,14154,United Kingdom
1833,14165,United Kingdom
1859,14191,United Kingdom
1871,14203,United Kingdom
1904,14236,United Kingdom
1991,14323,United Kingdom
2002,14334,United Kingdom
2013,14345,United Kingdom
2018,14350,United Kingdom
2049,14381,United Kingdom
2052,14384,United Kingdom
2057,14389,United Kingdom
2084,14416,United Kingdom
2112,14444,United Kingdom
2115,14447,United Kingdom
2202,14534,United Kingdom
2317,14649,United Kingdom
2327,14659,United Kingdom
2351,14683,United Kingdom
2360,14692,United Kingdom
2454,14786,United Kingdom
2455,14787,United Kingdom
2470,14802,United Kingdom
2693,15025,United Kingdom
2724,15056,United Kingdom
2834,15166,United Kingdom
2844,15176,United Kingdom
2996,15328,United Kingdom
3001,15333,United Kingdom
3116,15448,United Kingdom
3126,15458,United Kingdom
3319,15651,United Kingdom
3361,15693,United Kingdom
3417,15749,United Kingdom
3498,15830,United Kingdom
3526,15858,United Kingdom
3555,15887,United Kingdom
3578,15910,United Kingdom
3592,15924,United Kingdom
3599,15931,United Kingdom
3624,15956,United Kingdom
3639,15971,United Kingdom
3704,16036,United Kingdom
3782,16114,United Kingdom
3857,16189,United Kingdom
3862,16194,United Kingdom
3901,16233,United Kingdom
4052,16384,United Kingdom
4099,16431,United Kingdom
4137,16469,United Kingdom
4167,16499,United Kingdom
4198,16530,United Kingdom
4206,16538,United Kingdom
4215,16547,United Kingdom
4334,16666,United Kingdom
4502,16834,United Kingdom
4566,16898,United Kingdom
4659,16991,United Kingdom
4663,16995,United Kingdom
4719,17051,United Kingdom
4751,17083,United Kingdom
4919,17251,United Kingdom
4934,17266,United Kingdom
4970,17302,United Kingdom
4976,17308,United Kingdom
5004,17336,United Kingdom
5114,17446,United Kingdom
5123,17455,United Kingdom
5196,17528,United Kingdom
5204,17536,United Kingdom
5221,17553,United Kingdom
5297,17629,United Kingdom
5446,17778,United Kingdom
5447,17779,United Kingdom
5460,17792,United Kingdom
5468,17800,United Kingdom
5508,17840,United Kingdom
5529,17861,United Kingdom
5544,17876,United Kingdom
5580,17912,United Kingdom
5584,17916,United Kingdom
5585,17917,United Kingdom
5592,17924,United Kingdom
5658,17990,United Kingdom
5661,17993,United Kingdom
5695,18027,United Kingdom
5697,18029,United Kingdom
5782,18114,United Kingdom
5801,18133,United Kingdom
3,12348,Finland
7,12352,Norway
110,12447,Belgium
121,12456,Switzerland
166,12500,Germany
190,12524,Germany
196,12530,Germany
283,12617,France
354,12687,Sweden
394,12727,France
412,12745,EIRE
475,12807,Sweden
482,12814,Poland
637,12969,United Kingdom
878,13210,United Kingdom
891,13223,United Kingdom
899,13231,United Kingdom
1259,13591,United Kingdom
1358,13690,United Kingdom
1371,13703,United Kingdom
1376,13708,United Kingdom
1389,13721,United Kingdom
1418,13750,United Kingdom
1424,13756,United Kingdom
